,model_mae,model_rmse,model_r2,naive_mae
t+1 day,1.7757778009766167,2.5214489972007494,0.9140027321349545,1.9636960050500496
t+2 days,1.8978427204919848,2.6827493716677213,0.9018708740949701,2.151959148705925
t+3 days,1.9751689440311277,2.785589804621926,0.8934149067044563,2.256885201551087
